open_time,open,high,low,close,volume,quote_av,trades,tb_base_av,tb_quote_av,symbol
2024-01-14 12:55:00,42706.6,42729.0,42698.5,42724.9,49.056,2095215.3552,889,18.563,792821.952,BTCUSDT
2024-01-14 12:56:00,42724.8,42731.7,42701.2,42701.2,50.657,2164028.6574,869,24.441,1044130.5152,BTCUSDT
2024-01-14 12:57:00,42701.2,42702.3,42681.1,42684.6,60.287,2573694.2311,1066,24.647,1052206.3441,BTCUSDT
2024-01-14 12:58:00,42684.5,42685.8,42680.1,42684.2,32.965,1407033.9064,763,18.378,784408.7565,BTCUSDT
2024-01-14 12:59:00,42684.3,42692.3,42684.2,42691.2,30.296,1293294.3881,1037,17.601,751359.2386,BTCUSDT
2024-01-14 13:00:00,42691.1,42691.2,42666.6,42666.6,60.188,2568924.4918,1197,11.168,476643.5003,BTCUSDT
2024-01-14 13:01:00,42666.6,42684.7,42652.4,42655.0,240.361,10254887.4491,3026,89.639,3824555.0736,BTCUSDT
2024-01-14 13:02:00,42655.0,42685.0,42654.4,42674.6,87.836,3747635.5399,1523,53.621,2287610.537,BTCUSDT
2024-01-14 13:03:00,42674.6,42689.2,42659.2,42659.3,115.389,4924189.3441,1677,75.762,3233145.3871,BTCUSDT
2024-01-14 13:04:00,42659.3,42675.3,42652.4,42652.4,50.324,2147133.2466,1132,25.007,1066945.3887,BTCUSDT
2024-01-14 13:05:00,42652.5,42664.3,42635.0,42664.3,232.575,9919417.2505,3275,66.927,2854645.7275,BTCUSDT
2024-01-14 13:06:00,42664.3,42668.8,42654.0,42654.0,46.498,1983820.9236,671,18.445,786939.4073,BTCUSDT
2024-01-14 13:07:00,42654.0,42691.7,42654.0,42691.7,45.956,1960926.4446,922,38.702,1651366.2216,BTCUSDT
2024-01-14 13:08:00,42691.4,42714.2,42691.2,42703.5,157.892,6742657.3642,1592,86.627,3699105.0869,BTCUSDT
2024-01-14 13:09:00,42702.1,42702.1,42680.0,42680.0,26.307,1123068.9362,641,8.006,341791.4507,BTCUSDT
2024-01-14 13:10:00,42680.1,42680.1,42663.5,42667.1,45.172,1927397.8032,1299,24.523,1046282.7994,BTCUSDT
2024-01-14 13:11:00,42667.2,42693.1,42667.1,42693.1,32.506,1387404.1155,654,28.307,1208179.7146,BTCUSDT
2024-01-14 13:12:00,42693.1,42694.1,42673.7,42673.7,92.03,3928604.9353,803,6.969,297487.6911,BTCUSDT
2024-01-14 13:13:00,42673.7,42673.7,42654.0,42654.0,92.647,3952891.767,952,29.527,1259704.8906,BTCUSDT
2024-01-14 13:14:00,42654.0,42664.3,42647.0,42664.3,45.265,1930850.0736,978,25.253,1077218.6125,BTCUSDT
2024-01-14 13:15:00,42664.3,42664.4,42640.1,42641.5,66.434,2833646.8632,1398,19.769,843204.7417,BTCUSDT
2024-01-14 13:16:00,42641.6,42643.7,42610.4,42624.9,302.831,12908411.12814,4426,104.292,4445537.1827,BTCUSDT
2024-01-14 13:17:00,42624.8,42636.0,42615.2,42618.9,132.003,5626398.4857,2512,63.34,2699789.4891,BTCUSDT
2024-01-14 13:18:00,42618.9,42618.9,42608.3,42613.6,127.93,5451486.0355,2504,44.34,1889469.7622,BTCUSDT
2024-01-14 13:19:00,42614.4,42614.5,42553.0,42595.9,537.448,22887666.84469,8114,155.14,6607551.021,BTCUSDT
2024-01-14 13:20:00,42595.9,42651.7,42595.8,42637.9,179.079,7634260.4736,2948,115.76,4934878.6952,BTCUSDT
2024-01-14 13:21:00,42637.9,42637.9,42595.8,42617.4,133.592,5692826.2236,2366,68.233,2907478.7514,BTCUSDT
2024-01-14 13:22:00,42617.4,42617.4,42604.9,42607.2,60.247,2567141.6717,1557,26.539,1130832.3219,BTCUSDT
2024-01-14 13:23:00,42607.2,42616.0,42595.6,42615.9,141.056,6009968.4254,2173,53.342,2272796.3281,BTCUSDT
2024-01-14 13:24:00,42616.0,42625.1,42598.0,42598.1,98.496,4196990.6093,1893,49.32,2101500.6418,BTCUSDT
2024-01-14 13:25:00,42598.0,42620.9,42591.6,42606.0,83.547,3559539.7396,1686,46.822,1994806.3924,BTCUSDT
2024-01-14 13:26:00,42605.9,42609.0,42591.0,42595.0,49.659,2115382.6064,1325,20.055,854301.0088,BTCUSDT
2024-01-14 13:27:00,42594.3,42594.3,42576.8,42582.4,74.744,3183032.0129,1372,27.838,1185501.9301,BTCUSDT
2024-01-14 13:28:00,42582.4,42600.0,42581.5,42599.8,86.017,3663469.4815,1196,58.21,2479087.8354,BTCUSDT
2024-01-14 13:29:00,42599.9,42599.9,42582.8,42593.0,85.375,3636467.3514,1100,23.033,981005.6184,BTCUSDT
2024-01-14 13:30:00,42593.0,42599.8,42583.4,42596.2,77.176,3287065.6329,1330,44.895,1912203.6295,BTCUSDT
2024-01-14 13:31:00,42596.3,42629.5,42596.2,42629.5,95.22,4057463.7952,1160,86.716,3695055.4158,BTCUSDT
2024-01-14 13:32:00,42629.5,42637.0,42623.1,42637.0,54.744,2333761.3506,1140,30.404,1296182.4889,BTCUSDT
2024-01-14 13:33:00,42636.9,42639.8,42611.4,42611.4,58.045,2474688.3328,1144,22.84,973768.066,BTCUSDT
2024-01-14 13:34:00,42611.3,42621.6,42607.0,42612.7,36.066,1536880.6856,986,17.419,742244.9721,BTCUSDT
2024-01-14 13:35:00,42612.8,42629.0,42606.9,42629.0,31.309,1334321.0471,887,20.979,894079.6631,BTCUSDT
2024-01-14 13:36:00,42628.9,42636.1,42621.6,42630.8,45.481,1938857.1296,987,19.477,830282.5022,BTCUSDT
2024-01-14 13:37:00,42630.7,42630.8,42589.3,42593.4,96.193,4097999.8352,1372,43.821,1866653.8052,BTCUSDT
2024-01-14 13:38:00,42593.5,42606.7,42593.4,42604.3,48.314,2058226.7119,853,26.042,1109384.0758,BTCUSDT
2024-01-14 13:39:00,42604.3,42604.4,42592.5,42599.1,39.08,1664732.1948,648,9.527,405835.694,BTCUSDT
2024-01-14 13:40:00,42599.1,42600.0,42590.2,42592.1,54.124,2305469.705,1391,24.503,1043745.9106,BTCUSDT
2024-01-14 13:41:00,42592.1,42594.9,42568.0,42572.0,91.201,3883390.5773,1654,11.872,505555.2672,BTCUSDT
2024-01-14 13:42:00,42572.5,42588.9,42567.8,42588.9,67.423,2870732.3914,1871,38.425,1636093.1413,BTCUSDT
2024-01-14 13:43:00,42588.9,42588.9,42576.6,42576.6,49.642,2113794.2008,1209,15.293,651177.8357,BTCUSDT
2024-01-14 13:44:00,42576.6,42586.7,42571.8,42582.2,48.511,2065585.7153,1063,37.124,1580734.0694,BTCUSDT
2024-01-14 13:45:00,42582.2,42604.0,42570.4,42603.9,57.381,2443772.5918,1344,39.496,1682202.8232,BTCUSDT
